ds,Population
2018-01-01,7683790000.0
2018-02-01,7690683126.027397
2018-03-01,7696909175.342465
2018-04-01,7703802301.369863
2018-05-01,7710473068.493151
2018-06-01,7717366194.520548
2018-07-01,7724036961.643836
2018-08-01,7730930087.671233
2018-09-01,7737823213.69863
2018-10-01,7744493980.821918
2018-11-01,7751387106.849315
2018-12-01,7758057873.972603
2019-01-01,7764951000.0
2019-02-01,7764951000.0
2019-03-01,7764951000.0
2019-04-01,7764951000.0
2019-05-01,7764951000.0
2019-06-01,7764951000.0
2019-07-01,7764951000.0
2019-08-01,7764951000.0
2019-09-01,7764951000.0
2019-10-01,7764951000.0
2019-11-01,7764951000.0
2019-12-01,7764951000.0
2020-01-01,7697853900.0
2020-02-01,7704782467.040789
2020-03-01,7711264029.756365
2020-04-01,7718192596.797153
2020-05-01,7724897661.675335
2020-06-01,7731826228.716124
2020-07-01,7738531293.594306
2020-08-01,7745459860.635095
2020-09-01,7752388427.675883
2020-10-01,7759093492.554065
2020-11-01,7766022059.594853
2020-12-01,7772727124.473036
2021-01-01,7779655691.513824
2021-02-01,7786584258.554613
2021-03-01,7792842319.107583
2021-04-01,7799770886.148371
2021-05-01,7806475951.026553
2021-06-01,7813404518.067342
2021-07-01,7820109582.945524
2021-08-01,7827038149.986313
2021-09-01,7833966717.027101
2021-10-01,7840671781.905283
2021-11-01,7847600348.946072
2021-12-01,7854305413.824254
2022-01-01,7861233980.865043
2022-02-01,7868162547.90583
2022-03-01,7874420608.458801
2022-04-01,7881349175.499589
2022-05-01,7888054240.377771
2022-06-01,7894982807.41856
2022-07-01,7901687872.296742
2022-08-01,7908616439.337531
2022-09-01,7915545006.378319
2022-10-01,7922250071.256501
2022-11-01,7929178638.29729
2022-12-01,7935883703.175472
2023-01-01,7942812270.216261
2023-02-01,7949740837.257049
2023-03-01,7955998897.8100195
2023-04-01,7962927464.850807
2023-05-01,7969632529.72899
2023-06-01,7976561096.769778
2023-07-01,7983266161.647961
2023-08-01,7990194728.688749
2023-09-01,7997123295.729537
2023-10-01,8003828360.607719
2023-11-01,8010756927.648508
2023-12-01,8017461992.5266905
2024-01-01,8024390559.567479
2024-02-01,8031319126.608267
2024-03-01,8037800689.323843
2024-04-01,8044729256.364632
2024-05-01,8051434321.242814
2024-06-01,8058362888.283603
2024-07-01,8065067953.161785
2024-08-01,8071996520.202573
2024-09-01,8078925087.243361
2024-10-01,8085630152.121544
2024-11-01,8092558719.162333
2024-12-01,8099263784.040515
2025-01-01,8106192351.081303
2025-02-01,8113120918.122091
2025-03-01,8119378978.675061
2025-04-01,8126307545.71585
2025-05-01,8133012610.594032
2025-06-01,8139941177.634821
2025-07-01,8146646242.513003
2025-08-01,8153574809.553791
2025-09-01,8160503376.59458
2025-10-01,8167208441.472762
2025-11-01,8174137008.513551
2025-12-01,8180842073.391733
2026-01-01,8187770640.432521
2026-02-01,8194699207.4733095
2026-03-01,8200957268.026279
2026-04-01,8207885835.067068
2026-05-01,8214590899.9452505
2026-06-01,8221519466.986039
2026-07-01,8228224531.864222
2026-08-01,8235153098.905009
2026-09-01,8242081665.945798
2026-10-01,8248786730.82398
2026-11-01,8255715297.864769
2026-12-01,8262420362.742951
2027-01-01,8269348929.783739
2027-02-01,8276277496.824528
2027-03-01,8282535557.377498
2027-04-01,8289464124.418286
2027-05-01,8296169189.296469
2027-06-01,8303097756.337257
2027-07-01,8309802821.21544
2027-08-01,8316731388.2562275
2027-09-01,8323659955.297016
2027-10-01,8330365020.175199
2027-11-01,8337293587.215987
2027-12-01,8343998652.09417
2028-01-01,8350927219.134957
2028-02-01,8357855786.175746
2028-03-01,8364337348.891322
2028-04-01,8371265915.932111
2028-05-01,8377970980.810293
2028-06-01,8384899547.851081
2028-07-01,8391604612.729263
2028-08-01,8398533179.770052
2028-09-01,8405461746.810841
2028-10-01,8412166811.689023
2028-11-01,8419095378.729811
2028-12-01,8425800443.607993
2029-01-01,8432729010.648782
2029-02-01,8439657577.68957
2029-03-01,8445915638.24254
2029-04-01,8452844205.283329
2029-05-01,8459549270.161511
2029-06-01,8466477837.202299
2029-07-01,8473182902.080482
2029-08-01,8480111469.12127
2029-09-01,8487040036.162059
2029-10-01,8493745101.040241
2029-11-01,8500673668.081029
2029-12-01,8507378732.959211
2030-01-01,8514307300.0
2030-02-01,8520613515.744798
2030-03-01,8526309452.54655
2030-04-01,8532615668.2913475
2030-05-01,8538718457.721796
2030-06-01,8545024673.466594
2030-07-01,8551127462.897042
2030-08-01,8557433678.64184
2030-09-01,8563739894.386638
2030-10-01,8569842683.817086
2030-11-01,8576148899.561884
2030-12-01,8582251688.992333
2031-01-01,8588557904.73713
2031-02-01,8594864120.481928
2031-03-01,8600560057.28368
2031-04-01,8606866273.028477
2031-05-01,8612969062.458927
2031-06-01,8619275278.203724
2031-07-01,8625378067.634172
2031-08-01,8631684283.378971
2031-09-01,8637990499.123768
2031-10-01,8644093288.554216
2031-11-01,8650399504.299015
2031-12-01,8656502293.729464
2032-01-01,8662808509.47426
2032-02-01,8669114725.219059
2032-03-01,8675014088.33516
2032-04-01,8681320304.079956
2032-05-01,8687423093.510405
2032-06-01,8693729309.255203
2032-07-01,8699832098.685652
2032-08-01,8706138314.430449
2032-09-01,8712444530.175247
2032-10-01,8718547319.605696
2032-11-01,8724853535.350492
2032-12-01,8730956324.780941
2033-01-01,8737262540.52574
2033-02-01,8743568756.270536
2033-03-01,8749264693.072289
2033-04-01,8755570908.817087
2033-05-01,8761673698.247536
2033-06-01,8767979913.992332
2033-07-01,8774082703.422783
2033-08-01,8780388919.16758
2033-09-01,8786695134.912376
2033-10-01,8792797924.342825
2033-11-01,8799104140.087624
2033-12-01,8805206929.518072
2034-01-01,8811513145.262869
2034-02-01,8817819361.007668
2034-03-01,8823515297.80942
2034-04-01,8829821513.554216
2034-05-01,8835924302.984667
2034-06-01,8842230518.729464
2034-07-01,8848333308.159912
2034-08-01,8854639523.904709
2034-09-01,8860945739.649508
2034-10-01,8867048529.079956
2034-11-01,8873354744.824753
2034-12-01,8879457534.255203
2035-01-01,8885763750.0
2035-02-01,8892069965.744797
2035-03-01,8897765902.54655
2035-04-01,8904072118.291348
2035-05-01,8910174907.721796
2035-06-01,8916481123.466593
2035-07-01,8922583912.897043
2035-08-01,8928890128.64184
2035-09-01,8935196344.386637
2035-10-01,8941299133.817087
