ds,Consumption
2015-10-01,150507.76458347944
2015-11-01,150618.55833632877
2015-12-01,150725.7780971507
2016-01-01,150836.57185
2016-02-01,151061.0206697541
2016-03-01,151270.9889204918
2016-04-01,151495.4377402459
2016-05-01,151712.6462754918
2016-06-01,151937.0950952459
2016-07-01,152154.3036304918
2016-08-01,152378.7524502459
2016-09-01,152603.20127
2016-10-01,152820.4098052459
2016-11-01,153044.858625
2016-12-01,153262.0671602459
2017-01-01,153486.51598
2017-02-01,153792.4586549863
2017-03-01,154068.79397432876
2017-04-01,154374.73664931508
2017-05-01,154670.81020575343
2017-06-01,154976.75288073972
2017-07-01,155272.82643717807
2017-08-01,155578.7691121644
2017-09-01,155884.71178715068
2017-10-01,156180.78534358903
2017-11-01,156486.72801857532
2017-12-01,156782.8015750137
2018-01-01,157088.74425
2018-02-01,157180.9029490685
2018-03-01,157264.14306435615
2018-04-01,157356.30176342465
2018-05-01,157445.48760123286
2018-06-01,157537.64630030136
2018-07-01,157626.83213810957
2018-08-01,157718.99083717808
2018-09-01,157811.14953624655
2018-10-01,157900.33537405476
2018-11-01,157992.49407312326
2018-12-01,158081.67991093147
2019-01-01,158173.83860999998
2019-02-01,158173.83860999998
2019-03-01,158173.83860999998
2019-04-01,158173.83860999998
2019-05-01,158173.83860999998
2019-06-01,158173.83860999998
2019-07-01,158173.83860999998
2019-08-01,158173.83860999998
2019-09-01,158173.83860999998
2019-10-01,158173.83860999998
2019-11-01,158173.83860999998
2019-12-01,158173.83860999998
2020-01-01,169330.7465756
2020-02-01,169602.41214408964
2020-03-01,169856.55090170895
2020-04-01,170128.2164701986
2020-05-01,170391.11863325306
2020-06-01,170662.78420174267
2020-07-01,170925.68636479715
2020-08-01,171197.3519332868
2020-09-01,171469.0175017764
2020-10-01,171731.91966483087
2020-11-01,172003.5852333205
2020-12-01,172266.48739637499
2021-01-01,172538.1529648646
2021-02-01,172809.81853335424
2021-03-01,173055.1938855384
2021-04-01,173326.85945402805
2021-05-01,173589.76161708252
2021-06-01,173861.42718557213
2021-07-01,174124.3293486266
2021-08-01,174395.99491711624
2021-09-01,174667.66048560585
2021-10-01,174930.56264866033
2021-11-01,175202.22821714997
2021-12-01,175465.13038020444
2022-01-01,175736.79594869405
2022-02-01,176008.4615171837
2022-03-01,176253.83686936786
2022-04-01,176525.5024378575
2022-05-01,176788.40460091198
2022-06-01,177060.0701694016
2022-07-01,177322.97233245606
2022-08-01,177594.6379009457
2022-09-01,177866.3034694353
2022-10-01,178129.2056324898
2022-11-01,178400.87120097943
2022-12-01,178663.7733640339
2023-01-01,178935.4389325235
2023-02-01,179207.10450101315
2023-03-01,179452.47985319732
2023-04-01,179724.14542168696
2023-05-01,179987.04758474143
2023-06-01,180258.71315323104
2023-07-01,180521.61531628552
2023-08-01,180793.28088477516
2023-09-01,181064.94645326477
2023-10-01,181327.84861631924
2023-11-01,181599.51418480888
2023-12-01,181862.41634786336
2024-01-01,182134.08191635297
2024-02-01,182405.7474848426
2024-03-01,182659.88624246191
2024-04-01,182931.55181095155
2024-05-01,183194.45397400603
2024-06-01,183466.11954249567
2024-07-01,183729.02170555014
2024-08-01,184000.68727403975
2024-09-01,184272.3528425294
2024-10-01,184535.25500558387
2024-11-01,184806.92057407348
2024-12-01,185069.82273712795
2025-01-01,185341.4883056176
2025-02-01,185613.1538741072
2025-03-01,185858.52922629137
2025-04-01,186130.194794781
2025-05-01,186393.09695783549
2025-06-01,186664.7625263251
2025-07-01,186927.6646893796
2025-08-01,187199.3302578692
2025-09-01,187470.99582635885
2025-10-01,187733.89798941332
2025-11-01,188005.56355790293
2025-12-01,188268.4657209574
2026-01-01,188540.13128944705
2026-02-01,188811.79685793666
2026-03-01,189057.17221012083
2026-04-01,189328.83777861047
2026-05-01,189591.73994166494
2026-06-01,189863.40551015455
2026-07-01,190126.30767320906
2026-08-01,190397.97324169867
2026-09-01,190669.6388101883
2026-10-01,190932.54097324278
2026-11-01,191204.2065417324
2026-12-01,191467.10870478686
2027-01-01,191738.7742732765
2027-02-01,192010.4398417661
2027-03-01,192255.8151939503
2027-04-01,192527.48076243993
2027-05-01,192790.3829254944
2027-06-01,193062.048493984
2027-07-01,193324.95065703848
2027-08-01,193596.61622552812
2027-09-01,193868.28179401773
2027-10-01,194131.18395707224
2027-11-01,194402.84952556185
2027-12-01,194665.75168861632
2028-01-01,194937.41725710596
2028-02-01,195209.08282559557
2028-03-01,195463.2215832149
2028-04-01,195734.88715170452
2028-05-01,195997.789314759
2028-06-01,196269.45488324863
2028-07-01,196532.3570463031
